listing_id,price,zone,avg_sharpness,avg_brightness,avg_resolution,avg_filesize_kb,price_q
109794783,2700,Salamanca-Retiro,589.9171378071255,163.16919273648526,967390.0,126.33037109375,Mid-High
109798554,3200,Centro,188.03757115170032,144.0489770246973,2250230.0,177.0955078125,Premium
109800675,1190,Centro,251.90180284560842,181.45478252935632,1146110.0,97.65732421875,Budget
109802760,3800,Centro,211.61330546994768,153.05993107657952,1708695.0,138.28798828125,Premium
109804857,1800,Oeste,193.72841893410137,136.64063691223322,1683230.0,110.21806640625,Low-Mid
109814565,3000,Centro,1014.2529426804801,155.56574867988985,1146110.0,188.85400390625,Premium
109814601,1290,Centro,241.03748730925454,177.60170313971804,1146110.0,91.371875,Budget
109814627,1800,Centro,649.3028056860755,166.12151759909483,1146615.0,159.86708984375,Low-Mid
109814654,2100,Centro,365.2042797935457,177.03270505143422,1146110.0,113.57470703125,Mid-High
109814887,2200,Centro,436.1362259157651,183.55350638655858,1146110.0,110.15078125,Mid-High
109822370,1550,Chamberí,406.93762217432493,127.01942844298564,1289480.0,147.21708984375,Low-Mid
109834801,1400,Sur-Sureste,308.8907457263998,109.85056758897124,1830970.0,151.57138671875,Low-Mid
109856976,2700,Periferia Norte,256.6796016381975,178.19173410151615,1814480.0,170.25654296875,Mid-High
109863929,2700,Periferia Norte,797.3980519684012,139.8284465616107,1289480.0,136.617578125,Mid-High
109864014,2430,Chamberí,856.7184637143353,159.86586400827366,1146195.0,128.33603515625,Mid-High
109871653,2900,Salamanca-Retiro,348.5707310820524,181.09042532427793,1148500.0,80.21611328125,Premium
109883730,2500,Salamanca-Retiro,258.0081567090157,198.67727576128578,1227625.0,102.54384765625,Mid-High
109897417,3690,Centro,556.2176404340476,165.6223153628177,1333695.0,138.61943359375,Premium
109910291,2700,Chamberí,349.58173481315663,128.08656327698347,1289480.0,120.92685546875,Mid-High
109923230,1900,Centro,630.9752788519162,141.75604004016787,1227625.0,140.62001953125,Mid-High
109931908,1650,Salamanca-Retiro,475.70779492563554,137.14365811222638,1420730.0,137.98828125,Low-Mid
109936604,2100,Salamanca-Retiro,656.8982807051195,161.49974568491547,1146195.0,137.7732421875,Mid-High
109941246,2400,Oeste,517.1292278291063,134.52510010035172,1835480.0,134.0412109375,Mid-High
109955912,1995,Salamanca-Retiro,204.23504097470897,121.17808668793728,2138630.0,177.84931640625,Mid-High
109961825,2300,Arganzuela,508.5549020107218,187.08032119382196,1146195.0,122.85341796875,Mid-High
109962143,1580,Periferia Norte,710.6684785809127,177.35577808516967,1145060.0,144.9837890625,Low-Mid
109963329,2600,Salamanca-Retiro,305.9166394012166,185.5862621311235,1146495.0,93.940625,Mid-High
109972361,5650,Centro,228.65242608987637,174.0268634700323,1707705.0,119.6640625,Premium
109972618,1250,Centro,483.8401932157337,184.68551089479558,1145810.0,121.92900390625,Budget
109982035,1800,Chamberí,828.4017344592563,158.4939812933979,1145910.0,172.54130859375,Low-Mid
109983399,1125,Centro,134.7536940772007,137.74420150669908,2252365.0,154.3875,Budget
109992654,1090,Arganzuela,272.980667889504,204.41213495877156,1146110.0,87.1978515625,Budget
109996429,1700,Arganzuela,217.98621958915675,196.85725907833773,1227625.0,99.44013671875,Low-Mid
109997326,1250,Sur-Sureste,304.02037849992564,198.55894205086955,1146110.0,91.51005859375,Budget
110010117,1950,Centro,184.53948850333512,168.35661982418426,1334055.0,82.48681640625,Mid-High
110015307,4500,Norte,139.95424171606663,152.6941752760702,1247820.0,96.72666015625,Premium
110015784,2350,Norte,670.1926151518104,192.75948676641067,1145595.0,110.089453125,Mid-High
110017342,2100,Norte,908.3112049640655,144.67956456890607,1272940.0,235.40654296875,Mid-High
110024523,3000,Norte,291.5504230802728,187.847084065733,1146195.0,94.3134765625,Premium
110029192,4800,Salamanca-Retiro,1556.1601949980181,170.86185433412936,1176110.0,171.52861328125,Premium
110033906,2900,Salamanca-Retiro,850.6014234201839,139.1387424633157,1558695.0,201.59287109375,Premium
110035739,1750,Norte,445.22758935324003,179.96953491056468,1054556.25,90.6826171875,Low-Mid
110036203,1750,Norte,542.8888243486202,165.39075708460422,1146195.0,117.348046875,Low-Mid
110038167,3300,Norte,543.748385794598,179.505888460582,1149195.0,112.1802734375,Premium
110056292,6000,Salamanca-Retiro,193.2489366530731,188.0017144500726,1146195.0,79.74140625,Premium
110094207,1590,Chamberí,231.5797480912715,134.55257975180334,1114921.4285714286,88.9609375,Low-Mid
110096424,2300,Oeste,666.2060444183584,178.80871092597778,1146195.0,113.4767578125,Mid-High
110105304,8000,Salamanca-Retiro,896.5282573345788,153.67835749463674,1335100.0,147.86611328125,Premium
110107302,1700,Centro,485.5109560844693,176.25900640208008,1146195.0,120.99521484375,Low-Mid
110114078,2000,Oeste,492.718609020433,133.50736240991796,1420730.0,136.605078125,Mid-High
